ID,WC_TA,RE_TA,EBIT_TA,MVE_BVTD,S_TA,Industry
58224,0.681,1.011,0.128,15.628,0.901,11
60066,0.148,0.274,0.051,1.295,0.336,12
84217,0.123,0.211,0.052,1.036,0.305,1
49508,0.217,0.182,0.069,0.278,0.116,9
73419,0.35,0.335,0.074,0.989,0.236,5
56109,0.316,0.317,0.063,1.327,0.313,11
55640,0.47,0.639,0.088,4.585,0.468,4
63237,-0.035,-0.21,0.03,0.206,0.1,12
40227,0.254,0.351,0.077,1.992,0.194,11
76335,0.184,0.228,0.059,0.6,0.16,4
54736,0.027,-0.331,0.047,0.25,0.125,9
46476,0.267,0.428,0.072,1.542,0.253,3
76211,0.082,0.194,0.049,1.792,0.206,10
61941,0.02,0.106,0.031,1.249,0.205,1
50207,0.276,0.436,0.065,4.244,0.465,7
51871,0.048,0.063,0.05,0.326,0.085,2
84867,0.162,0.229,0.047,2.391,0.255,5
78914,0.014,0.043,0.041,0.551,0.221,11
73000,0.028,0.113,0.037,0.789,0.134,6
46121,0.496,0.691,0.104,3.152,0.406,2
49408,0.33,0.554,0.077,4.52,0.725,4
55652,0.066,0.161,0.045,0.909,0.235,3
37050,-0.044,0.102,0.02,2.387,0.294,5
69126,0.138,0.294,0.051,2.342,0.438,10
71445,0.258,0.404,0.063,2.434,0.363,8
35552,0.118,0.003,0.04,0.338,0.126,9
48836,0.119,0.281,0.062,1.042,0.227,2
69410,0.09,0.371,0.045,4.609,0.613,2
58408,-0.098,0.037,-0.011,4.846,0.808,9
46300,0.021,0.208,0.038,1.94,0.336,12
50944,0.084,-0.029,0.037,0.311,0.164,12
46877,-0.062,-0.055,0.02,0.566,0.237,8
44720,-0.008,0.062,0.036,0.548,0.188,9
76600,-0.084,-0.081,0.021,0.751,0.234,7
76714,-0.088,-0.18,0.002,0.578,0.229,8
59549,0.439,0.681,0.1,5.327,0.54,3
47997,0.243,0.498,0.063,5.527,0.695,5
41082,0.151,0.442,0.057,2.854,0.423,7
79315,-0.001,0.152,0.036,1.578,0.297,11
32644,0.236,0.216,0.061,0.734,0.191,4
47064,0.106,0.258,0.054,1.584,0.298,8
83824,0.28,0.297,0.071,0.652,0.175,12
81196,0.493,0.858,0.095,5.096,0.432,10
61661,-0.013,-0.013,0.03,0.466,0.241,3
35404,0.146,0.289,0.058,1.184,0.243,6
55599,0.483,0.737,0.092,3.774,0.439,3
68415,-0.113,-0.212,-0.01,0.801,0.308,10
63895,0.12,0.396,0.049,3.777,0.357,5
83549,0.016,0.005,0.035,0.326,0.099,3
84813,-0.327,-1.833,-0.074,0.212,0.247,7
44105,0.275,0.42,0.056,1.785,0.31,11
56364,0.47,0.718,0.103,3.772,0.458,12
76418,0.067,0.032,0.042,0.424,0.139,11
49342,0.544,0.935,0.136,14.305,0.791,7
75127,0.098,0.328,0.049,1.159,0.265,1
44463,0.044,0.126,0.044,0.673,0.231,5
45194,0.121,0.095,0.059,0.279,0.11,12
43076,0.087,0.556,0.059,13.005,1.11,5
64401,-0.159,-0.44,-0.009,0.73,0.319,6
59284,0.092,0.323,0.057,1.435,0.274,11
47671,0.149,0.233,0.051,0.903,0.313,12
67946,0.226,0.432,0.057,2.174,0.389,8
43843,0.397,0.524,0.087,1.877,0.46,10
38262,-0.102,-1.5,0.014,0.056,0.072,2
81594,0.031,-0.054,0.03,0.951,0.29,1
75206,0.724,1.01,0.167,5.845,0.176,9
78758,0.062,0.043,0.041,0.634,0.153,11
67439,0.11,0.187,0.049,0.407,0.14,7
36461,0.138,0.309,0.06,2.301,0.417,7
39783,0.06,0.163,0.041,0.937,0.312,5
70394,0.075,0.3,0.046,3.767,0.362,9
63946,0.048,0.175,0.047,1.453,0.258,5
69408,0.248,0.334,0.061,0.861,0.203,3
68571,0.309,0.555,0.075,4.572,0.52,12
51282,-0.037,-0.087,0.021,0.413,0.161,1
76006,0.135,0.416,0.045,4.384,0.659,2
56864,0.228,0.583,0.07,3.681,0.501,2
76461,0.1,0.259,0.05,0.645,0.253,1
72011,0.349,0.567,0.08,7.008,1.043,1
47813,-0.089,-0.7,0.02,0.107,0.095,8
54564,0.053,0.092,0.048,0.56,0.146,9
45877,-0.079,-0.542,0.011,0.124,0.075,2
61323,0.022,0.094,0.038,0.856,0.177,5
74843,0.242,0.452,0.061,3.762,0.496,2
78227,0.197,0.122,0.069,0.2,0.123,9
46556,0.112,0.55,0.046,5.322,0.457,5
43429,0.053,0.213,0.041,2.172,0.359,2
67524,0.389,0.367,0.085,0.866,0.24,2
55015,0.124,0.273,0.053,1.803,0.374,5
42125,0.313,0.523,0.061,13.101,1.173,5
37745,0.345,0.348,0.065,1.264,0.24,5
74372,0.208,0.198,0.057,0.938,0.201,10
46551,0.263,0.351,0.073,1.26,0.228,4
61002,-0.029,0.011,0.027,0.547,0.131,2
56106,0.315,0.343,0.067,2.763,0.46,2
81968,-0.039,-0.022,0.029,0.611,0.158,2
82424,0.221,0.249,0.062,0.876,0.133,1
59612,0.255,0.658,0.063,11.374,0.668,7
64310,0.37,0.341,0.085,0.785,0.121,8
33121,-0.181,-1.732,-0.01,0.05,0.062,4
68104,0.47,0.66,0.1,3.787,0.572,8
51810,0.111,0.237,0.047,1.124,0.242,8
53569,0.192,0.192,0.067,0.651,0.109,12
61211,0.329,0.65,0.075,4.418,0.603,8
56237,0.142,0.346,0.052,3.236,0.505,6
34174,0.142,0.21,0.056,1.361,0.292,12
52824,0.453,0.697,0.09,5.172,0.555,5
61601,0.209,0.445,0.065,2.792,0.282,2
73454,-0.014,0.048,0.027,0.888,0.271,10
72971,-0.028,0.036,0.027,0.536,0.226,10
48304,-0.08,-0.215,0.015,0.444,0.191,2
72592,0.013,0.193,0.036,1.467,0.394,10
73300,0.009,0.047,0.033,0.414,0.125,1
44209,0.212,0.291,0.059,1.026,0.27,11
61920,0.419,0.548,0.073,3.7,0.352,6
44013,-0.029,-0.604,0.023,0.066,0.069,5
55074,0.298,0.425,0.072,2.667,0.314,1
71430,0.019,-0.017,0.033,0.437,0.131,1
48237,-0.092,0.028,0.017,2.268,0.435,9
42726,0.301,0.199,0.072,0.55,0.179,10
63818,0.168,0.432,0.055,1.788,0.314,8
32887,0.025,0.151,0.047,0.702,0.211,6
82990,0.267,0.118,0.087,0.236,0.076,10
43209,0.182,0.322,0.055,1.223,0.246,6
57374,0.098,0.157,0.049,1.133,0.199,2
59283,0.085,0.31,0.037,1.523,0.187,9
75216,0.052,0.176,0.045,0.662,0.182,5
67498,0.116,0.408,0.052,4.972,0.715,8
71066,0.194,0.378,0.062,2.254,0.529,5
84837,0.129,0.236,0.048,2.42,0.422,10
33934,0.559,0.91,0.119,13.232,0.685,2
67800,-0.008,-0.146,0.037,0.265,0.145,10
60142,0.355,0.522,0.078,2.382,0.353,8
77778,0.102,0.301,0.046,1.849,0.367,12
51391,0.066,0.294,0.04,5.449,0.712,12
76613,0.177,0.137,0.085,0.202,0.079,9
76357,0.08,0.19,0.047,0.924,0.158,5
79423,0.169,0.315,0.062,1.425,0.279,7
60205,0.083,0.196,0.045,1.598,0.418,7
57432,0.096,0.258,0.052,1.442,0.223,9
76786,-0.115,-0.23,0.007,0.607,0.222,11
58999,-0.056,-0.105,0.025,0.521,0.183,10
42624,0.066,0.108,0.029,1.103,0.367,12
73554,0.125,0.265,0.058,1.076,0.289,2
68927,0.038,0.445,0.034,5.084,0.676,6
57642,-0.012,0.094,0.028,0.484,0.139,5
59834,0.321,0.42,0.074,1.667,0.413,7
74989,0.72,1.128,0.154,22.546,1.169,9
47177,0.252,0.311,0.068,0.814,0.153,1
37629,0.244,0.352,0.064,1.5,0.287,3
49618,-0.001,-0.204,0.038,0.188,0.09,2
82470,-0.016,0.113,0.027,1.129,0.342,2
49776,0.223,0.399,0.059,2.723,0.432,6
84862,0.345,0.5,0.078,3.526,0.568,7
50494,-0.005,0.137,0.033,1.48,0.28,9
70986,0.057,0.104,0.04,0.817,0.196,9
81505,-0.13,-1.163,-0.016,0.129,0.16,1
45195,0.294,0.414,0.069,1.858,0.342,10
76886,0.304,0.479,0.062,2.248,0.39,8
37630,-0.037,-0.04,0.029,0.732,0.202,7
34846,0.037,-0.062,0.043,0.255,0.122,7
65095,0.426,0.632,0.085,3.281,0.331,12
59334,0.136,0.187,0.054,0.775,0.145,4
50701,0.353,0.533,0.069,3.356,0.321,5
50529,0.198,0.246,0.06,0.559,0.141,12
57475,0.35,0.365,0.086,1.111,0.249,5
65233,0.18,0.392,0.062,2.229,0.533,3
64790,-0.007,-0.252,0.025,0.384,0.104,11
40527,0.177,0.313,0.061,2.281,0.32,10
44261,0.023,0.071,0.041,0.405,0.106,8
57196,0.091,0.126,0.044,0.495,0.176,5
58206,0.425,0.366,0.082,1.382,0.323,11
79052,0.33,0.374,0.076,1.324,0.213,9
72911,-0.002,-0.009,0.032,0.451,0.145,6
76842,0.019,-0.073,0.037,0.358,0.111,6
65810,0.307,0.206,0.076,0.663,0.133,1
51526,0.383,0.275,0.084,0.347,0.146,5
59542,0.087,0.199,0.053,1.035,0.253,4
71101,0.234,0.378,0.069,1.988,0.333,10
61493,0.028,0.139,0.034,1.001,0.202,9
80519,0.033,0.145,0.04,0.728,0.21,9
57371,0.052,0.171,0.044,1.289,0.402,12
46526,0.462,0.661,0.091,3.455,0.333,8
54584,0.251,0.349,0.06,2.227,0.326,9
63521,0.087,0.045,0.035,0.427,0.117,4
55618,0.281,0.524,0.064,4.68,0.674,10
84553,-0.031,-0.026,0.034,0.883,0.165,5
61395,0.265,0.233,0.065,0.773,0.237,11
65175,0.076,0.27,0.049,2.177,0.368,7
68545,0.074,0.186,0.043,1.058,0.255,8
65580,0.373,0.503,0.086,4.919,0.398,2
53050,0.021,0.241,0.052,2.843,0.501,3
35488,0.046,0.223,0.041,1.741,0.354,12
47351,0.092,0.18,0.047,1.025,0.247,8
35651,-0.038,0.133,0.02,1.599,0.315,12
54115,0.273,0.337,0.071,1.037,0.193,3
50594,0.043,0.099,0.029,0.777,0.33,6
72668,0.281,0.374,0.068,1.909,0.322,12
44741,-0.02,-0.185,0.027,0.335,0.143,2
82377,0.294,0.297,0.064,0.7,0.204,2
69696,0.188,0.387,0.053,4.264,0.593,9
34782,0.102,0.209,0.047,2.096,0.395,9
52053,0.07,0.238,0.041,1.928,0.295,2
73894,0.364,0.482,0.075,3.563,0.523,8
49818,0.375,0.259,0.079,0.476,0.091,5
73260,-0.123,-0.634,0.002,0.146,0.091,1
67606,0.03,-0.018,0.042,0.268,0.11,2
39807,-0.018,0.118,0.033,0.577,0.126,1
67327,0.343,0.354,0.075,1.477,0.293,11
36482,0.409,0.669,0.08,1.429,0.391,11
